City,Population (2010),State
Corona,152374,California
Longmont,86270,Colorado
Palmdale,152750,California
Star Valley Ranch,1503,Wyoming
Pomona,149058,California
Lyman,2115,Wyoming
Santa Rosa,167815,California
Soldotna,4163,Alaska
Powell,6314,Wyoming
Seward,2693,Alaska
Louisville,18376,Colorado
Redmond,54144,Washington
Evansville,2544,Wyoming
Royal Kunia,14525,Hawaii
Hayward,144186,California
Houston,1912,Alaska
Newcastle,3532,Wyoming
Glenrock,2576,Wyoming
Emmonak,762,Alaska
Gambell,681,Alaska
Holualoa,8538,Hawaii
Fairfield,105321,California
Pasadena,137122,California
Stockton,291707,California
Makakilo,18248,Hawaii
Kihei,20881,Hawaii
Evans,18537,Colorado
North Pole,2117,Alaska
Wailuku,15313,Hawaii
Fort Morgan,11315,Colorado
Sacramento,466488,California
Gillette,29087,Wyoming
Fremont,214089,California
Auburn,70180,Washington
Erie,18135,Colorado
Wrangell,2369,Alaska
Honolulu,337256,Hawaii
Afton,1911,Wyoming
Modesto,201165,California
Akutan,1027,Alaska
Berkeley,112580,California
Firestone,10147,Colorado
Greeley,92889,Colorado
El Monte,113475,California
Lakewood,58163,Washington
Saratoga,1690,Wyoming
Chula Vista,243916,California
Wasilla,7831,Alaska
Cordova,2239,Alaska
Delta Junction,958,Alaska
Victorville,115903,California
Anaheim,336265,California
Mililani Town,27629,Hawaii
Torrington,6501,Wyoming
Schofield Barracks,16370,Hawaii
Juneau,31275,Alaska
Mount Vernon,31743,Washington
Kirkland,48787,Washington
Denver,600158,Colorado
Broomfield,55889,Colorado
Vancouver,161791,Washington
Greybull,1847,Wyoming
Richland,48058,Washington
Waipio,11674,Hawaii
Homer,5003,Alaska
Lander,7487,Wyoming
Visalia,124442,California
Santa Clarita,176320,California
Oxnard,197899,California
Pearl City,47698,Hawaii
Ketchikan,8050,Alaska
Wahiawa,17821,Hawaii
Torrance,145538,California
Lahaina,11704,Hawaii
Mountain Village,813,Alaska
Bellevue,122363,Washington
Togiak,817,Alaska
Fort Collins,143986,Colorado
Longview,36648,Washington
Inglewood,109673,California
Lusk,1567,Wyoming
Commerce City,45913,Colorado
Greenwood Village,13925,Colorado
Sunnyvale,140081,California
Sheridan,17444,Wyoming
Fountain,25846,Colorado
Douglas,6120,Wyoming
Bremerton,37729,Washington
Long Beach,462257,California
Riverside,303871,California
Hoonah,760,Alaska
Hawaiian Paradise Park,11404,Hawaii
Brighton,33352,Colorado
Ocean Pointe,8361,Hawaii
Castle Pines,10796,Colorado
Unalaska,4376,Alaska
Lovell,2360,Wyoming
Waipahu,38216,Hawaii
Everett,103019,Washington
Lynnwood,35836,Washington
Pasco,59781,Washington
Kwethluk,721,Alaska
Olympia,46478,Washington
Norwalk,105549,California
Marysville,60020,Washington
Parker,45297,Colorado
Yakima,91067,Washington
Glendale,191719,California
Dillingham,2329,Alaska
Burien,33313,Washington
Garden Grove,170883,California
Downey,111772,California
Edmonds,39709,Washington
Fontana,196069,California
Fresno,494665,California
Fairbanks,31535,Alaska
Ventura,106433,California
Spokane Valley,89755,Washington
Kahului,26337,Hawaii
Bethel,6080,Alaska
Englewood,30255,Colorado
Kent,92411,Washington
Waihee-Waiehu,8841,Hawaii
Castle Rock,48231,Colorado
Federal Way,89306,Washington
Ahuimanu,8810,Hawaii
Kapaa,10699,Hawaii
Northglenn,35789,Colorado
Kalaoa,9644,Hawaii
Vallejo,115942,California
Kapolei,15186,Hawaii
Kaneohe Station,9517,Hawaii
Evanston,12359,Wyoming
Arvada,106433,Colorado
Steamboat Springs,12088,Colorado
Green River,12515,Wyoming
Anchorage,291826,Alaska
Kemmerer,2656,Wyoming
Walla Walla,31731,Washington
Oakland,390724,California
Montrose,19132,Colorado
Roseville,118788,California
Wheatland,3627,Wyoming
Thermopolis,3009,Wyoming
Renton,90927,Washington
Loveland,66859,Colorado
Bar Nunn,2213,Wyoming
Grand Junction,58566,Colorado
Craig,1201,Alaska
Aurora,325078,Colorado
Escondido,143911,California
Valdez,3976,Alaska
Federal Heights,11467,Colorado
East Honolulu,49914,Hawaii
Oceanside,167086,California
Santa Ana,324528,California
Fullerton,135161,California
Bothell,33505,Washington
Chevak,938,Alaska
Mills,3461,Wyoming
Rancho Cucamonga,165269,California
Laramie,30816,Wyoming
Palmer,5937,Alaska
Kodiak,6130,Alaska
Kailua,11975,Hawaii
Seattle,608660,Washington
Kennewick,73917,Washington
Lacey,42393,Washington
Ewa Gentry,22690,Hawaii
Kaneohe,34597,Hawaii
Cody,9520,Wyoming
Kailua,38635,Hawaii
Waimea,9212,Hawaii
Superior,12483,Colorado
Bakersfield,347483,California
Boulder,97385,Colorado
Wright,1807,Wyoming
Sitka,8881,Alaska
Lone Tree,10218,Colorado
Fruita,12646,Colorado
Pinedale,2030,Wyoming
Waianae,13177,Hawaii
Puyallup,37022,Washington
Rawlins,9259,Wyoming
Hilo,43263,Hawaii
Colorado Springs,416427,Colorado
Lafayette,24453,Colorado
Selawik,829,Alaska
Nanakuli,12666,Hawaii
Orange,134616,California
Sand Point,976,Alaska
King Cove,938,Alaska
West Covina,106098,California
Buffalo,4585,Wyoming
Wheat Ridge,30166,Colorado
Irvine,212375,California
Nome,3598,Alaska
Chugwater,212,Wyoming
Huntington Beach,189992,California
Centennial,100377,Colorado
Shoreline,53007,Washington
San Diego,1301617,California
Mililani Mauka,21039,Hawaii
Utqiaġvik,4212,Alaska
Wenatchee,31925,Washington
Pueblo,106595,Colorado
Windsor,18644,Colorado
San Jose,945942,California
Rock Springs,23036,Wyoming
Casper,55316,Wyoming
Santa Clara,116468,California
Moreno Valley,193365,California
Kenai,7100,Alaska
Halawa,14014,Hawaii
Westminster,106114,Colorado
Maili,9488,Hawaii
Golden,18867,Colorado
Unalakleet,688,Alaska
Sterling,14777,Colorado
Lancaster,156633,California
Sammamish,45780,Washington
San Francisco,805235,California
San Bernardino,209924,California
Thousand Oaks,126683,California
Ontario,163924,California
Cañon City,16400,Colorado
Richmond,103701,California
Carlsbad,105328,California
Kotzebue,3201,Alaska
Spokane,208916,Washington
Jackson,9577,Wyoming
Costa Mesa,109960,California
Concord,122067,California
Riverton,10615,Wyoming
Salinas,150441,California
Hooper Bay,1093,Alaska
Los Angeles,3792621,California
Waimalu,13730,Hawaii
Bellingham,80885,Washington
Durango,16887,Colorado
Klawock,755,Alaska
Ewa Beach,14955,Hawaii
Cheyenne,59466,Wyoming
Simi Valley,124237,California
Lakewood,142980,Colorado
Worland,5487,Wyoming
Elk Grove,153015,California
Aiea,9338,Hawaii
Littleton,41737,Colorado
Thornton,118772,Colorado
Tacoma,198397,Washington
